#VALUE!,CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory usage [GB],Memory capacity provisioned [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],Label,Memory usage [KB],,,
1376315446,4,11703.99824,10434.11443096,89.15,8.9478464,67108864,2.5333333333,19974.9333333333,535.6666666667,23.9333333333,1,8947846.4,,,1
1376316346,4,11703.99824,10913.9783588,93.25,6.3529704,67108864,4.4666666667,15553.7333333333,0,2.0666666667,1,6352970.4,,,1
1376317246,4,11703.99824,10477.0290911733,89.5166666667,20.9379629333,67108864,0,1.4,235.5333333333,3.8666666667,1,20937962.9333333,,,1
1376318146,4,11703.99824,6485.9656913333,55.4166666667,11.0505925333,67108864,2.5333333333,10.7333333333,719.9333333333,21.4666666667,1,11050592.5333333,,,1
1376319046,4,11703.99824,76.07598856,0.65,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376319946,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376320846,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376321746,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376322647,4,11703.99824,58.5199912,0.5,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376323547,4,11703.99824,58.5199912,0.5,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376324447,4,11703.99824,58.5199912,0.5,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376325347,4,11703.99824,64.37199032,0.55,0,67108864,0,2.0666666667,0.0666666667,1.0666666667,0,0,,,1
1376326247,4,11703.99824,58.5199912,0.5,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376327147,4,11703.99824,60.4706575733,0.5166666667,0,67108864,0,1.8,0,1.0666666667,0,0,,,1
1376328047,4,11703.99824,58.5199912,0.5,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376328947,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376329847,4,11703.99824,70.22398944,0.6,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376330747,4,11703.99824,60.4706575733,0.5166666667,0.1342176,67108864,0,1.3333333333,0,1,0,134217.6,,,1
1376331647,4,11703.99824,70.22398944,0.6,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376332547,4,11703.99824,70.22398944,0.6,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376333447,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376334347,4,11703.99824,64.37199032,0.55,0,67108864,0,1.5333333333,0,1,0,0,,,1
1376335247,4,11703.99824,118.9906487733,1.0166666667,0,67108864,131.3333333333,15.2666666667,0,1,1,0,,,1
1376336147,4,11703.99824,76.07598856,0.65,0,67108864,0,14.9333333333,0,1,0,0,,,1
1376337047,4,11703.99824,70.22398944,0.6,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376337947,4,11703.99824,66.3226566933,0.5666666667,0.2684352,67108864,0,1.2666666667,0,1,0,268435.2,,,1
1376338848,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376339748,4,11703.99824,81.92798768,0.7,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376340648,4,11703.99824,79.9773213067,0.6833333333,0,67108864,0,1.2666666667,0,1,0,0,,,1
1376341548,4,11703.99824,78.0266549333,0.6666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376342448,4,11703.99824,74.1253221867,0.6333333333,0,67108864,0,1.6666666667,0,1,0,0,,,1
1376343348,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376344248,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376345148,4,11703.99824,76.07598856,0.65,0,67108864,0,2.5333333333,0,1,0,0,,,1
1376346048,4,11703.99824,78.0266549333,0.6666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376346948,4,11703.99824,70.22398944,0.6,0,67108864,0,1.5333333333,0,1,0,0,,,1
1376347848,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376348749,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376349649,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376350549,4,11703.99824,70.22398944,0.6,0,67108864,0,2.3333333333,0,1.0666666667,0,0,,,1
1376351449,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376352349,4,11703.99824,66.3226566933,0.5666666667,0.1789568,67108864,0,1.4,0,1,0,178956.8,,,1
1376353249,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376354149,4,11703.99824,70.22398944,0.6,0,67108864,0,1.5333333333,0,1,0,0,,,1
1376355049,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376355949,4,11703.99824,70.22398944,0.6,0,67108864,0,1.9333333333,0,1.0666666667,0,0,,,1
1376356849,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376357749,4,11703.99824,60.4706575733,0.5166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376358649,4,11703.99824,68.2733230667,0.5833333333,0.223696,67108864,32.6666666667,5.2,0,1,0,223696,,,1
1376359550,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376360450,4,11703.99824,60.4706575733,0.5166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376361350,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376362250,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376363149,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376364049,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376364950,4,11703.99824,60.4706575733,0.5166666667,0.223696,67108864,0,1.3333333333,0,1,0,223696,,,1
1376365850,4,11703.99824,62.4213239467,0.5333333333,0.4026528,67108864,0,1.3333333333,0,1,0,402652.8,,,1
1376366750,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,2,0,1,0,0,,,1
1376367650,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376368550,4,11703.99824,62.4213239467,0.5333333333,0.0894784,67108864,0,1.3333333333,0,1,0,89478.4,,,1
1376369450,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,2.0666666667,0,1.0666666667,0,0,,,1
1376370350,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376371250,4,11703.99824,66.3226566933,0.5666666667,0,67108864,8.5333333333,4.2,0,1.0666666667,0,0,,,1
1376372150,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376373050,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376373951,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.8666666667,0,1,0,0,,,1
1376374851,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.6666666667,0,1,0,0,,,1
1376375751,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,2.1333333333,0,1.0666666667,0,0,,,1
1376376651,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376377551,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.8,0.0666666667,1.0666666667,0,0,,,1
1376378451,4,11703.99824,60.4706575733,0.5166666667,0.223696,67108864,0,1.4666666667,0,1,0,223696,,,1
1376379351,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.3333333333,0,0.9333333333,0,0,,,1
1376380251,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376381151,4,11703.99824,70.22398944,0.6,0,67108864,0,1.4,0,1,0,0,,,1
1376382051,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376382951,4,11703.99824,74.1253221867,0.6333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376383851,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376384752,4,11703.99824,83.8786540533,0.7166666667,0,67108864,0,1.3333333333,0,0.9333333333,0,0,,,1
1376385652,4,11703.99824,76.07598856,0.65,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376386552,4,11703.99824,76.07598856,0.65,0,67108864,0,1.4,0,1,0,0,,,1
1376387452,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376388352,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376389252,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376390152,4,11703.99824,1347.9104639733,11.5166666667,0.447392,67108864,5.0666666667,4.6666666667,168.3333333333,30.6666666667,1,447392,,,1
1376391052,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376391952,4,11703.99824,64.37199032,0.55,0.1342176,67108864,0,1.6666666667,0,1,0,134217.6,,,1
1376392853,4,11703.99824,58.5199912,0.5,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376393753,4,11703.99824,1014.3465141333,8.6666666667,2.013264,67108864,0,2.3333333333,0.6666666667,8.7333333333,1,2013264,,,1
1376394653,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376395552,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376396452,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.4,0,1,0,0,,,1
1376397352,4,11703.99824,4913.7285944267,41.9833333333,2.1922218667,67108864,2.5333333333,2510.9333333333,717.8,8.2,1,2192221.86666667,,,1
